timestamp,pca_abbrev,load_mw,source
2017-12-31 21:00:00,CL,5586,CL
2018-01-01 21:00:00,CL,5563,CL
2018-01-02 21:00:00,CL,6467,CL
2018-01-03 21:00:00,CL,6503,CL
2018-01-04 21:00:00,CL,6506,CL
2018-01-05 21:00:00,CL,6679,CL
2018-01-06 21:00:00,CL,6129,CL
2018-01-07 21:00:00,CL,6010,CL
2018-01-08 21:00:00,CL,6270,CL
2018-01-09 21:00:00,CL,6181,CL
2018-01-10 21:00:00,CL,6087,CL
2018-01-12 21:00:00,CL,6226,CL
2018-01-13 21:00:00,CL,5840,CL
2018-01-14 21:00:00,CL,5639,CL
2018-01-15 21:00:00,CL,6254,CL
2018-01-16 21:00:00,CL,6196,CL
2018-01-17 21:00:00,CL,6482,CL
2018-01-18 21:00:00,CL,5757,CL
2018-01-19 21:00:00,CL,6516,CL
2018-01-20 21:00:00,CL,5745,CL
2018-01-21 21:00:00,CL,5714,CL
2018-01-22 21:00:00,CL,6276,CL
2018-01-23 21:00:00,CL,6261,CL
2018-01-24 21:00:00,CL,6140,CL
2018-01-25 21:00:00,CL,6122,CL
2018-01-26 21:00:00,CL,6348,CL
2018-01-27 21:00:00,CL,5799,CL
2018-01-28 21:00:00,CL,5803,CL
2018-01-29 21:00:00,CL,6463,CL
2018-01-30 21:00:00,CL,6586,CL
2018-01-31 21:00:00,CL,6598,CL
2018-02-01 21:00:00,CL,6567,CL
2018-02-02 21:00:00,CL,6517,CL
2018-02-03 21:00:00,CL,5860,CL
2018-02-04 21:00:00,CL,5965,CL
2018-02-05 21:00:00,CL,6441,CL
2018-02-06 21:00:00,CL,6316,CL
2018-02-07 21:00:00,CL,6330,CL
2018-02-08 21:00:00,CL,6319,CL
2018-02-09 21:00:00,CL,6316,CL
2018-02-10 21:00:00,CL,5819,CL
2018-02-11 21:00:00,CL,5653,CL
2018-02-12 21:00:00,CL,6242,CL
2018-02-13 21:00:00,CL,6360,CL
2018-02-14 21:00:00,CL,6494,CL
2018-02-15 21:00:00,CL,6500,CL
2018-02-16 21:00:00,CL,6629,CL
2018-02-17 21:00:00,CL,6052,CL
2018-02-18 21:00:00,CL,5886,CL
2018-02-19 21:00:00,CL,6421,CL
2018-02-20 21:00:00,CL,6753,CL
2018-02-21 21:00:00,CL,6649,CL
2018-02-22 21:00:00,CL,6655,CL
2018-02-23 21:00:00,CL,6548,CL
2018-02-24 21:00:00,CL,6086,CL
2018-02-25 21:00:00,CL,6142,CL
2018-02-26 21:00:00,CL,6608,CL
2018-02-27 21:00:00,CL,6385,CL
2018-02-28 21:00:00,CL,6424,CL
2018-03-01 21:00:00,CL,6283,CL
2018-03-02 21:00:00,CL,6256,CL
2018-03-03 21:00:00,CL,5811,CL
2018-03-04 21:00:00,CL,5727,CL
2018-03-05 21:00:00,CL,6173,CL
2018-03-06 21:00:00,CL,6294,CL
2018-03-07 21:00:00,CL,5981,CL
2018-03-08 21:00:00,CL,5981,CL
2018-03-09 21:00:00,CL,6356,CL
2018-03-10 21:00:00,CL,5757,CL
2018-03-11 21:00:00,CL,5715,CL
2018-03-12 21:00:00,CL,6060,CL
2018-03-13 21:00:00,CL,5758,CL
2018-03-14 21:00:00,CL,5895,CL
2018-03-15 21:00:00,CL,6021,CL
2018-03-16 21:00:00,CL,5962,CL
2018-03-17 21:00:00,CL,5461,CL
2018-03-18 21:00:00,CL,5601,CL
2018-03-19 21:00:00,CL,5970,CL
2018-03-20 21:00:00,CL,6076,CL
2018-03-21 21:00:00,CL,5963,CL
2018-03-22 21:00:00,CL,6144,CL
2018-03-23 21:00:00,CL,6265,CL
2018-03-24 21:00:00,CL,5532,CL
2018-03-25 21:00:00,CL,5593,CL
2018-03-26 21:00:00,CL,6066,CL
2018-03-27 21:00:00,CL,6215,CL
2018-03-28 21:00:00,CL,6221,CL
2018-03-29 21:00:00,CL,5675,CL
2018-03-30 21:00:00,CL,5546,CL
2018-03-31 21:00:00,CL,5220,CL
2018-04-01 21:00:00,CL,5418,CL
2018-04-02 21:00:00,CL,5819,CL
2018-04-03 21:00:00,CL,5905,CL
2018-04-04 21:00:00,CL,6010,CL
2018-04-05 21:00:00,CL,6042,CL
2018-04-06 21:00:00,CL,6115,CL
2018-04-07 21:00:00,CL,5661,CL
2018-04-08 21:00:00,CL,5492,CL
2018-04-09 21:00:00,CL,5764,CL
2016-12-31 21:00:00,CL,5273,CL
2017-01-01 21:00:00,CL,5291,CL
2017-01-02 21:00:00,CL,5638,CL
2017-01-03 21:00:00,CL,6170,CL
2017-01-04 21:00:00,CL,6141,CL
2017-01-05 21:00:00,CL,6185,CL
2017-01-06 21:00:00,CL,6297,CL
2017-01-07 21:00:00,CL,5875,CL
2017-01-08 21:00:00,CL,5695,CL
2017-01-09 21:00:00,CL,6008,CL
2017-01-10 21:00:00,CL,6073,CL
2017-01-11 21:00:00,CL,6206,CL
2017-01-12 21:00:00,CL,6230,CL
2017-01-13 21:00:00,CL,6235,CL
2017-01-14 21:00:00,CL,5759,CL
2017-01-15 21:00:00,CL,5683,CL
2017-01-16 21:00:00,CL,6396,CL
2017-01-17 21:00:00,CL,6464,CL
2017-01-18 21:00:00,CL,6423,CL
2017-01-19 21:00:00,CL,6549,CL
2017-01-20 21:00:00,CL,6571,CL
2017-01-21 21:00:00,CL,6025,CL
2017-01-22 21:00:00,CL,5853,CL
2017-01-23 21:00:00,CL,6339,CL
2017-01-24 21:00:00,CL,6477,CL
2017-01-25 21:00:00,CL,6622,CL
2017-01-26 21:00:00,CL,6601,CL
2017-01-27 21:00:00,CL,6731,CL
2017-01-28 21:00:00,CL,6013,CL
2017-01-29 21:00:00,CL,5951,CL
2017-01-30 21:00:00,CL,6462,CL
2017-01-31 21:00:00,CL,6496,CL
2017-02-01 21:00:00,CL,6458,CL
2017-02-02 21:00:00,CL,6366,CL
2017-02-03 21:00:00,CL,5752,CL
2017-02-04 21:00:00,CL,5841,CL
2017-02-05 21:00:00,CL,5910,CL
2017-02-06 21:00:00,CL,6311,CL
2017-02-07 21:00:00,CL,6254,CL
2017-02-08 21:00:00,CL,6351,CL
2017-02-09 21:00:00,CL,6375,CL
2017-02-10 21:00:00,CL,6419,CL
2017-02-11 21:00:00,CL,5882,CL
2017-02-12 21:00:00,CL,5792,CL
2017-02-13 21:00:00,CL,6330,CL
2017-02-14 21:00:00,CL,6344,CL
2017-02-15 21:00:00,CL,6395,CL
2017-02-16 21:00:00,CL,6322,CL
2017-02-17 21:00:00,CL,6277,CL
2017-02-18 21:00:00,CL,5818,CL
2017-02-19 21:00:00,CL,5945,CL
2017-02-20 21:00:00,CL,6487,CL
2017-02-21 21:00:00,CL,6688,CL
2017-02-22 21:00:00,CL,6669,CL
2017-02-23 21:00:00,CL,6622,CL
2017-02-24 21:00:00,CL,6729,CL
2017-02-25 21:00:00,CL,6086,CL
2017-02-26 21:00:00,CL,5970,CL
2017-02-27 21:00:00,CL,6444,CL
2017-02-28 21:00:00,CL,6470,CL
2017-03-01 21:00:00,CL,6398,CL
2017-03-02 21:00:00,CL,6322,CL
2017-03-03 21:00:00,CL,6365,CL
2017-03-04 21:00:00,CL,5802,CL
2017-03-05 21:00:00,CL,5689,CL
2017-03-06 21:00:00,CL,6226,CL
2017-03-07 21:00:00,CL,6082,CL
2017-03-08 21:00:00,CL,5934,CL
2017-03-09 21:00:00,CL,6024,CL
2017-03-10 21:00:00,CL,6067,CL
2017-03-11 21:00:00,CL,5664,CL
2017-03-12 21:00:00,CL,5642,CL
2017-03-13 21:00:00,CL,6096,CL
2017-03-14 21:00:00,CL,6096,CL
2017-03-15 21:00:00,CL,6095,CL
2017-03-16 21:00:00,CL,6105,CL
2017-03-17 21:00:00,CL,6229,CL
2017-03-18 21:00:00,CL,5741,CL
2017-03-19 21:00:00,CL,5628,CL
2017-03-20 21:00:00,CL,6026,CL
2017-03-21 21:00:00,CL,6053,CL
2017-03-22 21:00:00,CL,6077,CL
2017-03-23 21:00:00,CL,6097,CL
2017-03-24 21:00:00,CL,6140,CL
2017-03-25 21:00:00,CL,5643,CL
2017-03-26 21:00:00,CL,5572,CL
2017-03-27 21:00:00,CL,6021,CL
2017-03-28 21:00:00,CL,5992,CL
2017-03-29 21:00:00,CL,5814,CL
2017-03-30 21:00:00,CL,5940,CL
2017-03-31 21:00:00,CL,5989,CL
2017-04-01 21:00:00,CL,5513,CL
2017-04-02 21:00:00,CL,5436,CL
